Date,Open,High,Low,Close,Adj Close,Volume,Quarter
7/18/2019,38.970001,39.279999,38.869999,39.119999,38.731255,5713800,Q3
7/19/2019,39.400002,39.82,39.240002,39.48,39.087677,8194500,Q3
7/22/2019,39.959999,40.369999,39.77,39.860001,39.463902,6812800,Q3
7/23/2019,40.349998,40.919998,40.150002,40.709999,40.305454,12584300,Q3
7/24/2019,40.59,40.91,40.330002,40.880001,40.473766,7318200,Q3
7/25/2019,40.34,40.82,40.119999,40.75,40.345058,8304800,Q3
7/26/2019,40.720001,41,40.470001,40.77,40.364861,5705900,Q3
7/29/2019,40.709999,40.880001,40.560001,40.68,40.275753,5711200,Q3
7/30/2019,40.259998,40.560001,39.919998,40.43,40.028236,5436900,Q4
7/31/2019,40.599998,40.720001,40.110001,40.34,39.939133,10155700,Q4
8/1/2019,41.259998,41.900002,39.669998,40.150002,39.751022,18102900,Q4
8/2/2019,39.91,40.23,39.59,39.779999,39.384697,9144900,Q4
8/5/2019,39.200001,39.279999,38.68,39.009998,38.622349,9478000,Q4
8/6/2019,39.16,39.310001,38.650002,39.080002,38.691654,7104500,Q4
8/7/2019,38.689999,39.5,38.41,39.389999,38.998573,7924700,Q4
8/8/2019,39.5,40.200001,39.369999,40.099998,39.701515,6204200,Q4
8/9/2019,39.759998,39.860001,39.299999,39.610001,39.216389,6125000,Q4
8/12/2019,39.23,39.310001,38.669998,38.860001,38.473839,4130100,Q4
8/13/2019,38.830002,39.630001,38.48,39.009998,38.622349,6318700,Q4
8/14/2019,38.25,38.279999,37.049999,37.189999,36.820435,9878100,Q4
8/15/2019,37.169998,37.240002,36.150002,36.470001,36.10759,7904300,Q4
8/16/2019,36.580002,37.099998,36.369999,37,36.632324,7171900,Q4
8/19/2019,37.509998,37.599998,37.189999,37.360001,36.988747,3899900,Q4
8/20/2019,37.200001,37.290001,36.919998,36.959999,36.59272,4110400,Q4
8/21/2019,37.360001,37.360001,37.060001,37.119999,36.751129,3791800,Q4
8/22/2019,37.25,37.509998,37.049999,37.259998,36.889736,4044300,Q4
8/23/2019,36.610001,37.18,35.900002,36.060001,35.701664,7834100,Q4
8/26/2019,36.490002,36.610001,36.009998,36.25,35.889774,4838500,Q4
8/27/2019,36.470001,36.580002,35.849998,35.889999,35.533352,6221600,Q4
8/28/2019,35.700001,36.57,35.580002,36.439999,36.077885,7284600,Q4
8/29/2019,36.799999,37.02,36.73,36.91,36.543217,5123700,Q4
8/30/2019,37.25,37.34,36.91,37.09,36.721428,4599000,Q4
9/3/2019,36.889999,37.009998,36.540001,36.91,36.543217,6093900,Q4
9/4/2019,37.310001,38.32,37.240002,38.240002,37.860001,8105700,Q4
9/5/2019,38.619999,39.540001,38.619999,38.73,38.73,10747000,Q4
9/6/2019,38.919998,38.93,38.52,38.779999,38.779999,5012700,Q4
9/9/2019,39.060001,39.779999,38.950001,39.580002,39.580002,7543800,Q4
9/10/2019,39.200001,39.68,38.84,39.580002,39.580002,7233600,Q4
9/11/2019,39.400002,39.540001,38.860001,39.459999,39.459999,6991800,Q4
9/12/2019,39.41,39.490002,38.900002,39.07,39.07,6982100,Q4
9/13/2019,39.470001,39.580002,38.779999,38.860001,38.860001,10133600,Q4
9/16/2019,37.970001,38.16,36.970001,37.209999,37.209999,15650300,Q4
